,T,FH,Q
2021-11-25 21:00:00+00:00,2.6332466718375827,2.1706580342868165,-2e-323
2021-11-25 22:00:00+00:00,2.9142713817607273,2.1706580342868165,-2e-323
2021-11-25 23:00:00+00:00,3.2415313979073233,2.740345400725033,-2e-323
2021-11-26 00:00:00+00:00,2.7379177338419822,2.0853290171434224,-2e-323
2021-11-26 01:00:00+00:00,2.978306000981405,1.51564165070522,-2e-323
2021-11-26 02:00:00+00:00,3.303904706124456,2.1706580342868165,-2e-323
2021-11-26 03:00:00+00:00,3.3627829294159994,2.1706580342868165,-2e-323
2021-11-26 04:00:00+00:00,3.725598705143028,2.825674417868413,-2e-323
2021-11-26 05:00:00+00:00,3.8519309198550005,3.430312633561808,-2e-323
2021-11-26 06:00:00+00:00,3.799999996903794,3.7752962499801868,-2e-323
2021-11-26 07:00:00+00:00,3.977529624998021,4.430312633561805,2.864292814968394
2021-11-26 08:00:00+00:00,4.574034540072507,4.775296249980201,24.20884776724239
2021-11-26 09:00:00+00:00,4.996871669858958,5.12027986639859,35.569258702294064
2021-11-26 10:00:00+00:00,5.327508191790798,6.03495084925521,43.445311288050334
2021-11-26 11:00:00+00:00,5.34303126335618,6.205608883542013,37.13613584917596
2021-11-26 12:00:00+00:00,5.300366754784477,6.205608883542013,30.829341965713212
2021-11-26 13:00:00+00:00,4.217432558213154,6.379934465673614,12.360410935051505
2021-11-26 14:00:00+00:00,3.6379934465673642,6.379934465673614,4.480690801450066
2021-11-26 15:00:00+00:00,3.4465263482817043,6.12027986639859,0.08532901714340824
2021-11-26 16:00:00+00:00,3.27752962499802,5.6899672328367785,-2e-323
2021-11-26 17:00:00+00:00,3.245792838712731,5.259654599274995,-2e-323
2021-11-26 18:00:00+00:00,3.6543257404270975,3.3449836164183893,-2e-323
2021-11-26 19:00:00+00:00,3.968996723283679,2.9146709828565633,-2e-323
2021-11-26 20:00:00+00:00,4.068187500989325,3.3953617843066013,-2e-323
2021-11-26 21:00:00+00:00,3.869363478068152,2.740345400725033,-2e-323
2021-11-26 22:00:00+00:00,3.5771628702135487,2.0853290171434224,-2e-323
2021-11-26 23:00:00+00:00,3.7383602013518242,1.9999999987691932,-2e-323
2021-11-27 00:00:00+00:00,3.721661152707611,1.3449836164184035,-2e-323
2021-11-27 01:00:00+00:00,3.83559862599526,1.0853290171434224,-2e-323
2021-11-27 02:00:00+00:00,3.8984572681367027,1.1706580342868165,-2e-323
2021-11-27 03:00:00+00:00,3.9643256612793465,1.6899672328367785,-2e-323
2021-11-27 04:00:00+00:00,4.003861839709998,2.1706580342868165,-2e-323
2021-11-27 05:00:00+00:00,3.471315831130397,2.9110034350118212,-2e-323
2021-11-27 06:00:00+00:00,2.9868389026957516,2.5660198185935315,-2e-323
2021-11-27 07:00:00+00:00,2.9251991040476355,2.740345400725033,1.7403454007250332
2021-11-27 08:00:00+00:00,2.8426316622606578,3.82567441786847,11.321792537951524
2021-11-27 09:00:00+00:00,3.2527072958383485,4.51564165070522,26.06947303436607
2021-11-27 10:00:00+00:00,3.45388327291721,4.775296249980201,35.44649707944882
2021-11-27 11:00:00+00:00,3.2523405410539397,4.51564165070522,20.179178921374728
2021-11-27 12:00:00+00:00,3.3713158311303744,3.860625267123602,24.686299684992036
2021-11-27 13:00:00+00:00,3.5817582194925137,3.7752962499801868,25.162137147198962
2021-11-27 14:00:00+00:00,3.404228594494498,3.290937900685421,12.360410935051505
2021-11-27 15:00:00+00:00,3.2968716698589553,3.1202798663985902,0.7403454007250048
2021-11-27 16:00:00+00:00,2.8298272996375005,3.3449836164183893,-2e-323
2021-11-27 17:00:00+00:00,2.746893103066185,2.4303126335618046,-2e-323
2021-11-27 18:00:00+00:00,2.6984572681366927,2.0853290171434224,-2e-323
2021-11-27 19:00:00+00:00,2.7120279866398604,1.6046382156933987,-2e-323
2021-11-27 20:00:00+00:00,2.729093790068543,1.2596545992749952,-2e-323
2021-11-27 21:00:00+00:00,2.8686299684992065,1.0000000046130535,-2e-323
2021-11-27 22:00:00+00:00,3.0430312633561805,1.0000000046130535,-2e-323
2021-11-27 23:00:00+00:00,2.88256744178684,1.0000000046130535,-2e-323
2021-11-28 00:00:00+00:00,3.0085329017143394,0.34498361641840347,-2e-323
2021-11-28 01:00:00+00:00,2.7945954284267014,0.34498361641840347,-2e-323
2021-11-28 02:00:00+00:00,2.596138160289996,0.34498361641840347,-2e-323
2021-11-28 03:00:00+00:00,2.403085463726626,0.34498361641840347,-2e-323
2021-11-28 04:00:00+00:00,1.6367317366596623,0.914670982856606,-2e-323
2021-11-28 05:00:00+00:00,0.36464954964937135,1.0000000046130535,-2e-323
2021-11-28 06:00:00+00:00,0.3014670191379025,1.0000000046130535,-2e-323
2021-11-28 07:00:00+00:00,0.5833009513557954,1.0000000046130535,5.5156416507051915
2021-11-28 08:00:00+00:00,2.0980148006268564,1.5193091985499336,27.546496287971195
2021-11-28 09:00:00+00:00,3.2155230715653857,2.4303126335618046,30.27874946575279
2021-11-28 10:00:00+00:00,4.523646352080817,2.3449836164184035,62.46397749038351
2021-11-28 11:00:00+00:00,4.218198914093051,3.123947414243389,47.010473778354026
2021-11-28 12:00:00+00:00,3.494962183211179,3.48435834929478,22.081661469298638
2021-11-28 13:00:00+00:00,3.779072356861313,1.9146709828565918,19.379934465673557
2021-11-28 14:00:00+00:00,3.5825674417868427,1.9999999987691932,8.581875801370828
2021-11-28 15:00:00+00:00,3.080657955139067,1.3449836164184035,1.4303126335618046
2021-11-28 16:00:00+00:00,1.7264507938518108,1.825674417868413,-2e-323
2021-11-28 17:00:00+00:00,0.6757387174900771,1.9999999987691932,-2e-323
2021-11-28 18:00:00+00:00,-0.07074476437719568,1.3449836164184035,-2e-323
2021-11-28 19:00:00+00:00,0.27147727668462096,2.3449836164184035,-2e-323
2021-11-28 20:00:00+00:00,0.07846744653568294,2.6046382156933987,-2e-323
2021-11-28 21:00:00+00:00,0.4803769331834644,2.259654599274967,-2e-323
2021-11-28 22:00:00+00:00,0.6267847023252671,2.6046382156933987,-2e-323
2021-11-28 23:00:00+00:00,0.543850505754051,2.6046382156933987,-2e-323
2021-11-29 00:00:00+00:00,0.8325560286830864,3.2596545992749952,-2e-323
2021-11-29 01:00:00+00:00,0.8183275133363708,3.2596545992749952,-2e-323
2021-11-29 02:00:00+00:00,1.9919524322099846,3.604638215693342,-2e-323
2021-11-29 03:00:00+00:00,2.218284646921944,3.3449836164183893,-2e-323
2021-11-29 04:00:00+00:00,2.55855433492156,3.6550163835815965,-2e-323
2021-11-29 05:00:00+00:00,2.3175511373529503,2.9110034350118212,-2e-323
2021-11-29 06:00:00+00:00,1.9772814493533701,2.2559870514302247,-2e-323
2021-11-29 07:00:00+00:00,1.2184032260617812,1.4303126335618046,3.3449836164183893
2021-11-29 08:00:00+00:00,2.952491966504681,1.6046382156933987,32.50345321577255
2021-11-29 09:00:00+00:00,4.131121855856122,1.4303126335618046,66.52254808225035
2021-11-29 10:00:00+00:00,5.097357003783273,2.0853290171434224,79.93085542874269
2021-11-29 11:00:00+00:00,5.545426083928248,1.4303126335618046,69.30820793693783
2021-11-29 12:00:00+00:00,5.775620138350238,1.825674417868413,47.08802906304936
2021-11-29 13:00:00+00:00,6.006623415066562,1.825674417868413,43.16408006585152
2021-11-29 14:00:00+00:00,4.159330710904953,1.3449836164184035,16.36450714704074
2021-11-29 15:00:00+00:00,2.808209013344296,1.3449836164184035,1.0000000046130535
2021-11-29 16:00:00+00:00,1.7772057366279768,1.0853290171434224,-2e-323
2021-11-29 17:00:00+00:00,1.6000428664144408,1.0853290171434224,-2e-323
2021-11-29 18:00:00+00:00,2.826450793851805,2.0853290171434224,-2e-323
2021-11-29 19:00:00+00:00,3.2314128979152485,2.825674417868413,-2e-323
2021-11-29 20:00:00+00:00,3.453031184208413,2.999999989214411,-2e-323
2021-11-29 21:00:00+00:00,4.036450714704046,3.085329017143394,-2e-323
2021-11-29 22:00:00+00:00,4.310485254776566,4.0853290171434224,-2e-323
2021-11-29 23:00:00+00:00,4.5945954284267,5.1706580342868165,-2e-323
2021-11-30 00:00:00+00:00,4.886429281496831,6.170658034286845,-2e-323
2021-11-30 01:00:00+00:00,4.2465263482817015,7.1706580342868165,-2e-323
2021-11-30 02:00:00+00:00,4.184886549633546,6.430312633561808,-2e-323
2021-11-30 03:00:00+00:00,4.855911338704836,6.9146709828565776,-2e-323
2021-11-30 04:00:00+00:00,6.388057746188991,6.085329017143408,-2e-323
2021-11-30 05:00:00+00:00,7.481434331122472,5.775296249980201,-2e-323
2021-11-30 06:00:00+00:00,8.751564165070523,5.6899672328367785,-2e-323
2021-11-30 07:00:00+00:00,8.40467106200434,5.999999999417174,0.7403454007250048
2021-11-30 08:00:00+00:00,8.600366754784481,5.3449836164184035,8.174325582131587
2021-11-30 09:00:00+00:00,8.865501638358161,5.999999999417174,19.08532901714341
2021-11-30 10:00:00+00:00,8.461639798648164,6.259654599274995,30.306365219318423
2021-11-30 11:00:00+00:00,7.960097066784861,5.1239474142432755,20.735920725625874
2021-11-30 12:00:00+00:00,7.943031263356181,4.5193091985499905,14.298272996374862
2021-11-30 13:00:00+00:00,7.960097066784861,4.259654599274967,15.787056020768432
2021-11-30 14:00:00+00:00,7.817065803428683,4.174325582131587,8.259654599274967
2021-11-30 15:00:00+00:00,7.560097066784856,3.6550163835815965,1.0000000046130535
2021-11-30 16:00:00+00:00,7.251197410286039,2.999999989214411,-2e-323
2021-11-30 17:00:00+00:00,7.442664508571703,2.6550163835816107,-2e-323
2021-11-30 18:00:00+00:00,7.647702325360498,2.9146709828565633,-2e-323
2021-11-30 19:00:00+00:00,7.841930999002756,2.3449836164184035,-2e-323
2021-11-30 20:00:00+00:00,8.26249188735693,2.775296249980215,-2e-323
2021-11-30 21:00:00+00:00,9.199266490431043,4.430312633561805,-2e-323
2021-11-30 22:00:00+00:00,9.46513488357369,4.51564165070522,-2e-323
2021-11-30 23:00:00+00:00,9.739169423646189,5.775296249980201,-2e-323
2021-12-01 00:00:00+00:00,9.739169423646189,6.430312633561808,-2e-323
2021-12-01 01:00:00+00:00,10.021736865433041,6.426645085717155,-2e-323
2021-12-01 02:00:00+00:00,10.111661231855386,7.771628702135445,-2e-323
2021-12-01 03:00:00+00:00,9.73449836164184,7.945954284267032,-2e-323
2021-12-01 04:00:00+00:00,9.194962183211175,9.205608883542013,-2e-323
2021-12-01 05:00:00+00:00,8.820927643138681,9.465263482817022,-2e-323
2021-12-01 06:00:00+00:00,8.698090513352225,9.120279866398619,-2e-323
2021-12-01 07:00:00+00:00,8.889557611637876,8.205608883542006,1.0000000046130535
2021-12-01 08:00:00+00:00,9.262006553432641,8.205608883542006,8.294605448530262
2021-12-01 09:00:00+00:00,8.993009830148956,9.34498361641839,31.221036202175128
2021-12-01 10:00:00+00:00,8.95696873664382,9.34498361641839,39.910246307757916
2021-12-01 11:00:00+00:00,8.839536178430663,9.34498361641839,32.855771927880596
2021-12-01 12:00:00+00:00,8.508899656498812,9.34498361641839,29.54207161287252
2021-12-01 13:00:00+00:00,7.934498361641841,8.51930919854999,14.961053139790693
2021-12-01 14:00:00+00:00,7.399999988876046,7.949621832111802,9.170658034286816
2021-12-01 15:00:00+00:00,6.800000000761635,7.5193091985499905,1.0000000046130535
2021-12-01 16:00:00+00:00,6.579072356861332,6.519309198549934,-2e-323
2021-12-01 17:00:00+00:00,6.330636521931851,5.949621832111745,-2e-323
2021-12-01 18:00:00+00:00,6.200366754784483,6.259654599274995,-2e-323
2021-12-01 19:00:00+00:00,5.254692495211565,6.038618397099867,-2e-323
2021-12-01 20:00:00+00:00,4.982200687002361,4.5193091985499905,-2e-323
2021-12-01 21:00:00+00:00,4.821370110648559,3.3449836164183893,-2e-323
2021-12-01 22:00:00+00:00,4.049287923638261,3.3449836164183893,-2e-323
2021-12-01 23:00:00+00:00,3.9646924160638264,3.085329017143394,-2e-323
2021-12-02 00:00:00+00:00,3.839169423646183,2.999999989214411,-2e-323
2021-12-02 01:00:00+00:00,3.3592878444905523,3.170658034286845,-2e-323
2021-12-02 02:00:00+00:00,2.885695771927878,3.2596545992749952,-2e-323
2021-12-02 03:00:00+00:00,1.8096760324822299,2.259654599274967,-2e-323
2021-12-02 04:00:00+00:00,2.205037816788824,2.689967232836807,-2e-323
2021-12-02 05:00:00+00:00,1.5175511373530242,2.6550163835816107,-2e-323
2021-12-02 06:00:00+00:00,0.9225889541418155,3.085329017143394,-2e-323
2021-12-02 07:00:00+00:00,1.2155230715653786,2.9146709828565633,1.3953617843066013
2021-12-02 08:00:00+00:00,1.530679388346286,3.085329017143394,15.763107815047562
2021-12-02 09:00:00+00:00,2.7845197948490537,3.2596545992749952,32.56601981859342
2021-12-02 10:00:00+00:00,3.8824917290614565,3.2596545992749952,68.57174045874012
2021-12-02 11:00:00+00:00,3.0745198739968203,3.604638215693342,76.90766435027763
2021-12-02 12:00:00+00:00,3.734983695566129,3.085329017143394,58.086186345432
2021-12-02 13:00:00+00:00,3.5128800753486544,2.999999989214411,46.681446345748896
2021-12-02 14:00:00+00:00,2.47801495892233,1.7403454007250332,9.961381602900019
2021-12-02 15:00:00+00:00,0.8954903835499337,2.0853290171434224,1.1706580342868165
2021-12-02 16:00:00+00:00,0.5303554999762525,1.4303126335618046,-2e-323
2021-12-02 17:00:00+00:00,-0.0987382900922853,2.3449836164184035,-2e-323
2021-12-02 18:00:00+00:00,-0.5356314723062212,1.3449836164184035,-2e-323
2021-12-02 19:00:00+00:00,-0.4938190524432855,1.9999999987691932,-2e-323
2021-12-02 20:00:00+00:00,-0.16748683773130324,2.0853290171434224,-2e-323
2021-12-02 21:00:00+00:00,-0.20592275180865727,2.0853290171434224,-2e-323
2021-12-02 22:00:00+00:00,-0.43107898944174394,1.9999999987691932,-2e-323
2021-12-02 23:00:00+00:00,-0.36557735108362976,2.9146709828565633,-2e-323
2021-12-03 00:00:00+00:00,-0.40320404286649136,2.9146709828565633,-2e-323
2021-12-03 01:00:00+00:00,0.12166115270764521,2.999999989214411,-2e-323
2021-12-03 02:00:00+00:00,0.41239474142432186,2.3449836164184035,-2e-323
2021-12-03 03:00:00+00:00,0.7155230715653786,2.999999989214411,-2e-323
2021-12-03 04:00:00+00:00,0.9500214332072261,3.430312633561808,-2e-323
2021-12-03 05:00:00+00:00,1.2271843034207635,4.430312633561805,-2e-323
2021-12-03 06:00:00+00:00,1.6186514017064226,4.430312633561805,-2e-323
2021-12-03 07:00:00+00:00,2.0062566602820837,4.775296249980201,1.7403454007250332
2021-12-03 08:00:00+00:00,2.706623415066562,4.860625267123616,12.705394551469794
2021-12-03 09:00:00+00:00,2.9895576116378813,5.775296249980201,22.36041093505139
2021-12-03 10:00:00+00:00,3.403128330141044,6.12027986639859,22.75253383565763
2021-12-03 11:00:00+00:00,2.9325888749940603,7.120279866398562,18.96871669858959
2021-12-03 12:00:00+00:00,3.9426645085717027,7.465263482817022,23.798815791554716
2021-12-03 13:00:00+00:00,4.425965459927497,8.12027986639859,20.433980181406525
2021-12-03 14:00:00+00:00,4.086429281496841,8.12027986639859,6.088996564988179
2021-12-03 15:00:00+00:00,3.9639589064948453,7.205608883542006,0.6550163835815965
2021-12-03 16:00:00+00:00,4.168996723283676,7.03495084925521,-2e-323
2021-12-03 17:00:00+00:00,4.243031263356181,6.03495084925521,-2e-323
2021-12-03 18:00:00+00:00,4.268996723283678,5.949621832111745,-2e-323
2021-12-03 19:00:00+00:00,4.168996723283676,5.6899672328367785,-2e-323
2021-12-03 20:00:00+00:00,4.177529624998019,5.3449836164184035,-2e-323
2021-12-03 21:00:00+00:00,4.34303126335618,4.3449836164184035,-2e-323
2021-12-03 22:00:00+00:00,4.334498361641841,3.9496218321117453,-2e-323
2021-12-03 23:00:00+00:00,4.177529624998019,3.864292814968394,-2e-323
2021-12-04 00:00:00+00:00,4.203495084925514,3.3449836164183893,-2e-323
2021-12-04 01:00:00+00:00,4.112027986639859,2.689967232836807,-2e-323
2021-12-04 02:00:00+00:00,4.072491808209193,2.689967232836807,-2e-323
2021-12-04 03:00:00+00:00,4.072491808209193,2.3449836164184035,-2e-323
2021-12-04 04:00:00+00:00,4.046526348281695,2.0853290171434224,-2e-323
2021-12-04 05:00:00+00:00,4.05505924999604,2.0853290171434224,-2e-323
2021-12-04 06:00:00+00:00,4.05505924999604,1.9999999987691932,-2e-323
2021-12-04 07:00:00+00:00,4.094595428426704,2.259654599274967,1.0000000046130535
2021-12-04 08:00:00+00:00,4.260097066784862,2.3449836164184035,5.0853290171434224
2021-12-04 09:00:00+00:00,4.508532901714341,2.689967232836807,14.65501638358161
2021-12-04 10:00:00+00:00,4.7085329017143405,2.6046382156933987,17.18975290076463
2021-12-04 11:00:00+00:00,4.8294605448530135,2.4303126335618046,14.86062526712361
2021-12-04 12:00:00+00:00,5.034498361641838,2.3449836164184035,8.480690801449953
2021-12-04 13:00:00+00:00,5.008532901714339,2.3449836164184035,8.015427318632987
2021-12-04 14:00:00+00:00,5.043031263356181,2.0853290171434224,1.7403454007250332
2021-12-04 15:00:00+00:00,4.90349508492552,2.1706580342868165,-2e-323
2021-12-04 16:00:00+00:00,5.051930919855003,2.3449836164184035,-2e-323
2021-12-04 17:00:00+00:00,4.8778963797824915,2.999999989214411,-2e-323
2021-12-04 18:00:00+00:00,4.486429281496839,2.0853290171434224,-2e-323
2021-12-04 19:00:00+00:00,4.3146709828565974,2.740345400725033,-2e-323
2021-12-04 20:00:00+00:00,4.3298272996375005,2.740345400725033,-2e-323
2021-12-04 21:00:00+00:00,3.7546924952115646,2.9110034350118212,-2e-323
2021-12-04 22:00:00+00:00,3.880657955139064,3.170658034286845,-2e-323
2021-12-04 23:00:00+00:00,4.112027986639859,4.0853290171434224,-2e-323
